ITEM_ID,ITEM_NAME,BRAND,L2_CATEGORY,L1_CATEGORY,AVG_RATING,REVIEW_COUNT
U10CNCBHN6,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
YRZ5WH1DZI,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
92NM016935,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
1VUKGK9K81,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
N4POOWY4RH,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
L1IKBTT53X,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
WZI4324LS1,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
P1V95J79R1,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
N7ISB828IN,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
T9C36USK10,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
SKA1FN60CZ,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
1T6XMZ8YW7,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
P1PX0TFCLI,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
MSMWPQ8N2U,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
G2KB1M0V06,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
K63KAT91FB,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
SPNMX4WM7F,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
BBODISGRNG,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
J36RK4K4LC,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
T1CFR4UR63,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
NWYX28WX2R,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
4GUTA4CWJ8,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
ZYQOOB8KBN,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
AM1ODN6ZCI,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
6LM8LZTBRF,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
G51PIVNIZI,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
JUF39GK7TW,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
MSF3SQNCCH,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
KM5VVOZMVR,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
HG7TFYFQD2,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
9O7ZQQ37LK,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
DGBFHUKXSH,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
5PK3JOKVXQ,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
S3L9O4V9BA,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
GD2BF1728Y,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
Z056YL6IBA,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
SOJZ73RFM8,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
X8T8AUZ1AT,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
