SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,M0_VOLUME,ZERO_RESULT_RATE,M1_VOLUME,M2_VOLUME,M0_VS_M1_GROWTH_PCT,M1_VS_M2_GROWTH_PCT,TWO_PERIOD_CAGR_PCT,TREND_DIRECTION,TREND_STABILITY_SCORE
mysore soap,bath body and hair,soap,60292,0.00,3456,,1644.56,,,stable_up,100
face razor,beauty and grooming,hair removal,58192,0.00,58595,82265,-0.69,-28.77,-15.89,stable_down,0
durex condom,hygiene and wellness,sexual wellness,57881,0.00,29393,772,96.92,3707.38,765.88,stable_up,100
shower gel,bath body and hair,shower gel,56241,0.00,65924,85500,-14.69,-22.90,-18.9,stable_down,0
hair mask,bath body and hair,shampoo and conditioner,52691,0.00,44259,78825,19.05,-43.85,-18.24,accelerating,75
castor oil,bath body and hair,hair oil and serum,52431,0.00,32859,40334,59.56,-18.53,14.01,accelerating,75
sexual wellness,hygiene and wellness,sexual wellness,50683,0.00,14309,16954,254.20,-15.60,72.9,accelerating,75
nail polish,makeup,nail paints and accessories,45761,0.00,78044,58088,-41.37,34.35,-11.24,decelerating,50
vaseline jelly,beauty and grooming,face and lip care,45069,0.00,35746,23886,26.08,49.65,37.36,stable_up,100
gillette blade,beauty and grooming,shaving needs,44143,0.00,27824,15788,58.65,76.24,67.21,stable_up,100
minimalist,bath body and hair,face wash and scrub,43263,0.00,52612,76132,-17.77,-30.89,-24.62,stable_down,0
pilgrim serum,beauty and grooming,face and lip care,40761,0.00,20752,15892,96.42,30.58,60.15,stable_up,100
face scrub,bath body and hair,face wash and scrub,36817,0.00,32034,60748,14.93,-47.27,-22.15,accelerating,75
moisturising lotion,bath body and hair,body lotion,36671,0.00,27700,21275,32.39,30.20,31.29,stable_up,100
moisturising cream,bath body and hair,face cream,36272,0.00,18693,14397,94.04,29.84,58.73,stable_up,100
prega kit,hygiene and wellness,basic pharma,35048,0.00,42105,24910,-16.76,69.03,18.62,decelerating,50
plum,bath body and hair,fruits,33716,0.00,92805,62205,-63.67,49.19,-26.38,decelerating,50
mirror,makeup,makeup brushes and tools,32508,0.02,54291,56576,-40.12,-4.04,-24.2,stable_down,0
body scrub,bath body and hair,shower gel,32225,0.00,29531,47411,9.12,-37.71,-17.56,accelerating,75
face moisturizer,bath body and hair,face cream,30958,0.00,54810,79409,-43.52,-30.98,-37.56,stable_down,0
ghar soaps,bath body and hair,soap,30577,0.00,20121,72359,51.97,-72.19,-34.99,accelerating,75
sex toys,hygiene and wellness,sexual wellness,30111,0.00,30327,28349,-0.71,6.98,3.06,decelerating,50
razor for men,beauty and grooming,shaving needs,30050,0.00,28053,21237,7.12,32.09,18.95,stable_up,100
cough syrup,hygiene and wellness,basic pharma,29923,0.00,56058,38470,-46.62,45.72,-11.81,decelerating,50
