ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
613984,"Villain Hydra Aquatic Eau De Parfum For Men, Super Long Lasting Premium Fragrance|",4.8,1155,"Perfumes, Deos And Talc"
528131,"Sanfe Instant Stick On Nails - Cocoa Moca | 24 Reusable Artificial Fake Nails, Light, Salon Look",3.85,1134,Nail Paints And Accessories
528131,"Sanfe Instant Stick On Nails - Cocoa Moca | 24 Reusable Artificial Fake Nails, Light, Salon Look",3.85,1134,Nail Paints And Accessories
395073,Folkulture Folkessence Roll Ons Set Of 3 Roll On Essential Oil Blend - Sleep Therapy,4.24,1127,"Perfumes, Deos And Talc"
395073,Folkulture Folkessence Roll Ons Set Of 3 Roll On Essential Oil Blend - Sleep Therapy,4.24,1127,"Perfumes, Deos And Talc"
299227,"Lakme 9to5 Powerplay Priming Concealer Built In Primer, Hydrating, 16 Sand",4.21,1114,Face Makeup
299227,"Lakme 9to5 Powerplay Priming Concealer Built In Primer, Hydrating, 16 Sand",4.21,1114,Face Makeup
705476,Biolage Smoothproof Home Spa Kit – Shampoo Conditioner Serum With Minis + Travel Pouch,4.21,1094,Shampoo And Conditioner
705476,Biolage Smoothproof Home Spa Kit – Shampoo Conditioner Serum With Minis + Travel Pouch,4.21,1094,Shampoo And Conditioner
662921,My Soul Ejacudelay Delay Spray – 10% Lidocaine,4.12,1081,Sexual Wellness
662921,My Soul Ejacudelay Delay Spray – 10% Lidocaine,4.12,1081,Sexual Wellness
847569,"Em5 Halfeti Leather Cologne Solid Perfume For Men, Alcohol Free & Travel Friendly",4.55,1071,"Perfumes, Deos And Talc"
847569,"Em5 Halfeti Leather Cologne Solid Perfume For Men, Alcohol Free & Travel Friendly",4.55,1071,"Perfumes, Deos And Talc"
962150,Plush Period Panties High Waist M-L 0% Leak Disposable & Plush Disposable Eco Razor For Women,4.52,1066,Feminine Hygiene
962150,Plush Period Panties High Waist M-L 0% Leak Disposable & Plush Disposable Eco Razor For Women,4.52,1066,Feminine Hygiene
771075,Myglamm Super Kohl Long Stay Kajal,4.69,1054,Eye Makeup
771075,Myglamm Super Kohl Long Stay Kajal,4.69,1054,Eye Makeup
330531,Moha Moha Lip Scrub 12 Gm,4.6,1051,Face And Lip Care
330531,Moha Moha Lip Scrub 12 Gm,4.6,1051,Face And Lip Care
941023,Aroma Magicalmond Moisturising Lotion - 100 With Spf 15,4.51,1043,Body Lotion
941023,Aroma Magicalmond Moisturising Lotion - 100 With Spf 15,4.51,1043,Body Lotion
590134,Kundal Amber Vanilla Honey & Macadamia Hair Treatment,4.27,1039,Shampoo And Conditioner
590134,Kundal Amber Vanilla Honey & Macadamia Hair Treatment,4.27,1039,Shampoo And Conditioner
497120,Pilgrim Korean Salicylic Acid 1% + Glycolic Acid 3% Anti Acne Serum For Oily & Acne Prone Skin,4.49,1009,Face And Lip Care
497120,Pilgrim Korean Salicylic Acid 1% + Glycolic Acid 3% Anti Acne Serum For Oily & Acne Prone Skin,4.49,1009,Face And Lip Care
