ITEM_ID,MRP,SELLING_PRICE,DISCOUNT_PCT
835903,49.0,49.0,0.0
48602,255.0,255.0,0.0
653554,599.0,599.0,0.0
16392,120.0,120.0,0.0
376290,1199.0,1199.0,0.0
774070,149.0,149.0,0.0
181586,399.0,399.0,0.0
551829,499.0,495.0,0.8
290619,499.0,499.0,0.0
154495,149.0,149.0,0.0
430575,530.0,530.0,0.0
554706,475.0,475.0,0.0
150331,1799.0,1799.0,0.0
673191,279.0,279.0,0.0
702955,225.0,225.0,0.0
957397,449.0,449.0,0.0
84307,749.0,749.0,0.0
42769,560.0,560.0,0.0
29606,399.0,399.0,0.0
18041,848.0,780.0,8.02
93042,945.0,849.0,10.16
51458,280.0,280.0,0.0
79356,699.0,699.0,0.0
30405,1598.0,1598.0,0.0
81412,549.0,549.0,0.0
96509,499.0,499.0,0.0
87493,568.0,568.0,0.0
6072,243.0,243.0,0.0
77713,299.0,299.0,0.0
6808,699.0,699.0,0.0
95813,4999.0,3799.0,24.0
67627,549.0,549.0,0.0
22033,1380.0,1380.0,0.0
87648,1197.0,1197.0,0.0
32643,299.0,299.0,0.0
71461,699.0,699.0,0.0
5.0,99.0,49.23
61739,699.0,490.0,29.9
98614,395.0,300.0,24.05
71417,329.0,293.0,10.94
347865,599.0,501.0,16.36
26107,549.0,328.0,40.26
23904,272.0,158.0,41.91
67915,330.0,225.0,31.82
8343,175.0,175.0,0.0
74115,379.0,318.0,16.09
63095,499.0,334.0,33.07
18196,279.0,199.0,28.67
55767,329.0,293.0,10.94
53614,69.0,63.0,8.7
280686,700.0,559.0,20.14
41867,190.0,131.0,31.05
41138,999.0,569.0,43.04
482338,599.0,448.0,25.21
77109,399.0,239.0,40.1
251865,849.0,603.0,28.98
78217,798.0,404.0,49.37
65428,549.0,308.0,43.9
521797,229.0,218.0,4.8
13910,209.0,194.0,7.18
144,140.0,126.0,10.0
87493,199.0,161.0,19.1
83067,499.0,389.0,22.04
332720,599.0,501.0,16.36
