ITEM_ID,top_100_flag,combo_size,is_private_label
724405,false,1,false
932075,false,1,false
461013,false,1,false
67516,false,1,false
499977,false,1,false
740491,false,1,false
277019,false,1,false
806426,false,1,false
97208,false,1,false
253203,false,1,false
619213,false,1,false
707829,false,1,false
79228,false,1,false
952881,false,1,false
131948,false,1,false
762513,false,1,false
124278,false,1,false
982551,false,1,false
878282,false,1,false
568536,false,1,false
664499,false,1,false
942794,false,1,false
796164,false,1,false
328472,false,1,false
413119,false,1,false
964739,false,1,false
616716,false,1,false
184683,false,1,false
832212,false,1,false
893105,false,1,false
992620,false,1,false
609974,false,1,false
20752,false,1,false
139257,false,1,false
821827,false,1,false
935871,false,1,false
763708,false,1,false
147703,false,1,false
797766,false,1,false
558480,false,1,false
807265,false,1,false
586571,false,1,false
637894,false,1,false
610167,false,1,false
88016,false,1,false
196130,false,1,false
228625,false,1,false
299008,false,1,false
137762,false,1,false
533175,false,1,false
904289,false,1,false
940326,false,1,false
303881,false,1,false
989779,false,1,false
458494,false,1,false
298959,false,1,false
527936,false,1,false
356765,false,1,false
130172,false,1,false
799152,false,1,false
186565,false,1,false
914223,false,1,false
813391,false,1,false
402886,false,1,false
904133,false,1,false
111546,false,1,false
449655,false,1,false
135146,false,1,false
318188,false,1,false
545058,false,1,false
982293,false,1,false
330325,false,1,false
144896,false,1,false
806078,false,1,false
13976,false,1,false
354335,false,1,false
246199,false,1,false
333792,false,1,false
495880,false,1,false
361993,false,1,false
708700,false,1,false
61687,false,1,false
145437,false,1,false
499177,false,1,false
887030,false,1,false
485964,false,1,false
898733,false,1,false
304819,false,1,false
696285,false,1,false
804566,false,1,false
712589,false,1,false
919896,false,1,false
574289,false,1,false
152241,false,1,false
230383,false,1,false
668484,false,1,false
102422,false,1,false
154276,false,1,false
209803,false,1,false
645237,false,1,false
790043,false,1,false
192633,false,1,false
269121,false,1,false
253045,false,1,false
673014,false,1,false
710035,false,1,false
891881,false,1,false
650473,false,1,false
477768,false,1,false
513343,false,1,false
427329,false,1,false
62062,false,1,false
302194,false,1,false
460250,false,1,false
739791,false,1,false
749491,false,1,false
13972,false,1,false
913235,false,1,false
838322,false,1,false
578975,false,1,false
794833,false,1,false
385545,false,1,false
572882,false,1,false
275266,false,1,false
506174,false,1,false
553289,false,1,false
511348,false,1,false
316239,false,1,false
732578,false,1,false
625800,false,1,false
911960,false,1,false
654874,false,1,false
219866,false,1,false
264349,false,1,false
361102,false,1,false
592196,false,1,false
910168,false,1,false
835002,false,1,false
780260,false,1,false
657714,false,1,false
878746,false,1,false
33380,false,1,false
572367,false,1,false
755346,false,1,false
298929,false,1,false
33376,false,1,false
584309,false,1,false
538122,false,1,false
438652,false,1,false
54069,false,1,false
210227,false,1,false
269502,false,1,false
315688,false,1,false
100407,false,1,false
476093,false,1,false
155598,false,1,false
197761,false,1,false
475839,false,1,false
109403,false,1,false
601272,false,1,false
217393,false,1,false
204727,false,1,false
533079,false,1,false
706644,false,1,false
314257,false,1,false
965259,false,1,false
835484,false,1,false
875021,false,1,false
589382,false,1,false
503448,false,1,false
262842,false,1,false
415470,false,1,false
872693,false,1,false
721986,false,1,false
872986,false,1,false
528315,false,1,false
649165,false,1,false
224309,false,1,false
278704,false,1,false
87338,false,1,false
98629,false,1,false
514072,false,1,false
581883,false,1,false
989662,false,1,false
954881,false,1,false
63051,false,1,false
979915,false,1,false
475543,false,1,false
72069,false,1,false
491422,false,1,false
47244,false,1,false
494919,false,1,false
560757,false,1,false
465201,false,1,false
941704,false,1,false
318959,false,1,false
486850,false,1,false
206952,false,1,false
822340,false,1,false
901956,false,1,false
79848,false,1,false
663890,false,1,false
207287,false,1,false
262682,false,1,false
186843,false,1,false
983739,false,1,false
598722,false,1,false
79737,false,1,false
610648,false,1,false
440413,false,1,false
