ITEM_ID,AVG_RATING,REVIEW_COUNT
23870770,4.63,121052
17575353,4.63,121052
49917441,4.63,121052
25861599,4.42,110231
24947374,4.42,110231
5316458,4.42,110231
11725392,4.3,89050
11746917,4.32,88052
37806297,4.32,88052
20991711,4.04,68780
13293077,4.34,66347
707778,4.34,66347
91545391,4.03,66094
21965057,4.03,66094
143341434,4.03,66094
13293071,4.31,64167
26104710,4.31,64167
128506472,4.18,63307
26104714,4.18,63307
75672849,4.18,63307
75672854,4.18,63307
21965107,3.64,62052
21965111,3.64,62052
2813072,4.49,60698
145099333,4.49,60698
145626737,4.49,60698
8206219,4.19,60149
4027652,4.26,56990
48501212,4.41,54908
25861590,4.41,54908
9399617,4.41,54908
9930856,4.33,53422
48484283,4.33,53422
70411196,4.33,53422
13280272,4.53,50391
175711674,4.53,50391
259531,4.53,50391
25954263,4.53,50391
48500780,4.36,49261
9459876,4.36,49261
25861589,4.36,49261
782789,4.36,49261
5316464,4.31,48918
25861580,4.31,48918
48500718,4.31,48918
9464461,4.31,48918
75672852,4.21,47280
49200261,4.31,46394
6482239,4.32,43909
33425694,4.48,43725
5364960,4.48,43725
142980838,4.48,43725
6082950,4.73,43384
23816305,4.4,39227
4685468,4.4,39227
10119406,4.45,38903
54731463,4.45,38903
6871675,4.27,38889
129862850,4.27,38889
4685462,4.36,38274
7968935,4.21,36892
3888530,4.52,36855
25954242,4.52,36855
13280439,4.52,36855
48913365,4.14,36756
13293073,4.35,36210
74592886,4.35,36210
26104720,4.35,36210
11358461,4.24,35985
25425477,4.24,35985
48484282,4.24,35985
5316459,4.34,35866
25861600,4.34,35866
24947375,4.34,35866
9399623,4.34,35866
11725289,4.3,35817
74592888,4.3,35817
3107830,4.73,34799
119438699,4.31,34646
24531738,4.31,34646
4685467,4.4,34219
9930857,4.26,33935
70411197,4.26,33935
48484279,4.26,33935
74594098,4.31,33738
48364739,4.27,32757
47698873,4.53,31946
2813071,4.49,31131
145626731,4.49,31131
145099325,4.49,31131
6482241,4.32,30786
48364697,4.3,30652
47696898,4.62,30415
29905142,4.37,30379
25960299,4.28,29921
9432227,4.28,29921
44247451,4.38,29745
45384549,4.38,29745
797485,4.38,29745
47699842,4.55,29505
8206220,4.13,29323
25960296,4.27,29182
9432255,4.27,29182
376562,4.74,28572
18981321,4.74,28572
132009237,4.74,28572
93172177,4.69,28569
12514601,4.69,28569
19831299,4.56,28310
1528560,4.57,27306
182838539,4.57,27306
145098812,4.57,27306
182838542,4.57,27306
43970528,4.57,27306
45906212,4.57,27306
145627063,4.57,27306
30593833,4.55,27227
145627915,4.3,26863
9909492,4.3,26863
10158231,4.53,26801
145101411,4.55,26559
7422722,4.55,26559
145627708,4.55,26559
26104706,4.26,25306
74594677,4.26,25306
3903204,4.57,25282
79020161,4.54,25159
43305476,4.54,25159
43305467,4.54,25159
32768618,4.34,25087
15472037,4.33,25033
41119172,4.33,25033
15395867,4.33,25033
145099631,4.48,24731
4550630,4.48,24731
16821915,4.31,24424
47699880,4.58,24291
14979505,4.41,24023
40664362,4.41,24023
12666780,4.57,23915
15276587,4.73,23835
3248489,4.68,23566
47348639,4.68,23566
12514602,4.64,23412
47998211,4.63,23400
23870786,4.56,23242
17575443,4.56,23242
179252454,4.5,22900
145637037,4.5,22900
32768617,4.5,22900
24526890,4.56,22836
74594678,4.21,21891
48233589,4.51,21856
1878675,4.27,21777
145098135,4.27,21777
145628249,4.27,21777
8206225,4.13,21450
145097887,4.6,21387
783172,4.6,21387
145626736,4.6,21387
16821912,4.8,21377
89768502,4.57,21375
2086980,4.47,21116
145628621,4.47,21116
145098651,4.47,21116
25987256,4.2,20756
11746923,4.2,20756
5316453,4.48,20741
25861576,4.48,20741
9399583,4.48,20741
48500652,4.48,20741
15276636,4.62,20713
122955103,4.62,20713
5726388,4.72,20593
667830,4.15,20512
25861596,4.48,20474
48500625,4.48,20474
9399593,4.48,20474
4382283,4.48,20474
3888532,4.67,20313
28482119,4.67,20313
25954253,4.67,20313
782790,4.31,20309
70904794,4.59,20264
17575359,4.63,20216
23870771,4.63,20216
142517020,4.27,20029
34852716,4.27,20029
142996155,4.27,20029
8123862,4.56,19974
48500612,4.43,19492
25861598,4.43,19492
782781,4.43,19492
9399598,4.43,19492
89768504,4.45,19367
47998221,4.59,19320
644138,4.59,19320
69867306,4.27,19240
86420340,4.64,19034
62095343,4.58,19009
61424379,4.58,19009
12384538,4.63,18860
145102709,4.63,18860
145628539,4.63,18860
5666157,4.53,18834
3206272,4.6,18625
76516042,4.57,18567
76790938,4.57,18567
41119203,4.51,18488
20920001,4.51,18488
8206237,4.15,18430
78309964,4.4,18242
17016334,4.4,18242
1712367,4.33,18191
145627023,4.47,18105
6209169,4.47,18105
21508582,4.21,18028
58907086,4.62,17693
394141,4.15,17609
25987279,4.15,17609
34592956,4.48,17608
69867308,4.32,17566
10158236,4.4,17494
120131472,4.58,17482
19131430,4.58,17482
132227660,4.46,17438
32768621,4.46,17438
119674642,4.19,17365
6871677,4.19,17365
36673409,4.4,17252
25861591,4.35,17179
48500608,4.35,17179
9399620,4.35,17179
3248284,4.68,17157
110451884,4.68,17157
782690,4.38,17108
9399584,4.38,17108
25861577,4.38,17108
48500660,4.38,17108
158073997,4.17,17090
178266972,4.17,17090
22609958,4.17,17090
47700711,4.59,17038
104726443,4.49,16842
22019930,4.49,16842
145099209,4.33,16804
